,IdEncuesta,IdPersona,IdSexo,folio_nino,IdCuidador,FechaInicioF4,Region,Zona,IdSegmento,edad,fecha_nacimiento,des2,des2_esp,des2_esp_sinCodificar,des3,des3_esp,des3_esp_sinCodificar,des4,des11_1,des11_2,des11_3,des11_4,des11_5,des5_1,des5_2,des5_3,des5_4,des5_5,des6_1,des6_2,des6_3,des6_4,des6_5,des6_6,des6_7,des6_8,des7_1,des7_2,des7_3,des7_4,des7_5,des7_6,des7_7,des8_1,des8_2,des8_3,des8_4,des8_5,des9_1,des9_2,des9_3,des9_4,des9_5,des9_6,des9_7,des9_8,des9_9,des10,des10a,SexoCuidador,EdadCuidador,NEDUCuidador,Conglomerado,Estrato,Fexp_F4p_Corr,Edad_nino_meses,edad_nino_ano,Tramo_edad,Fexp_F4p_Corr_MINSAL1_trunc,Fexp_F4p_Corr_MINSAL2,Fexp_F4p_Corr_MINSAL2_trunc,NEDU1_MINSAL_2,rezago,retraso,estado_menor
553,25956.0,22.0,1.0,2595601.0,19.0,13696195033.0,9.0,1.0,7101113.0,4.0,13546310400.0,5.0,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,65.0,2.0,7101113.0,71.0,749.9713134765625,56.0,4.0,6.0,750.7033691,749.0460815,750.4675293,2.0,0.0,1.0,3.0
554,25971.0,82.0,1.0,2597101.0,80.0,13697050963.0,9.0,1.0,7102101.0,4.0,13553827200.0,1.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,30.0,2.0,7102101.0,71.0,65.95124816894531,54.0,4.0,6.0,66.015625,65.86988068,65.99488068,3.0,1.0,0.0,2.0
555,25971.0,83.0,1.0,2597102.0,80.0,13697051332.0,9.0,1.0,7102101.0,1.0,13658976000.0,1.0,,,1.0,,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,30.0,2.0,7102101.0,71.0,67.87330627441406,14.0,1.0,3.0,68.19257355,71.35166168,71.48007202,3.0,1.0,0.0,2.0
556,25973.0,98.0,2.0,2597301.0,97.0,13697563264.0,9.0,1.0,7102101.0,3.0,13593312000.0,1.0,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,2.0,22.0,2.0,7102101.0,71.0,62.78831481933594,39.0,3.0,5.0,62.98709488,64.23213196,64.3499527,2.0,0.0,0.0,1.0
557,25990.0,66.0,1.0,2599001.0,62.0,13697724251.0,9.0,1.0,7102103.0,1.0,13656038400.0,1.0,,,1.0,,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,37.0,,7102103.0,71.0,1808.85595703125,15.0,1.0,3.0,1926.355591,2047.131348,2269.031006,2.0,0.0,0.0,1.0
558,25995.0,29.0,2.0,2599501.0,25.0,13695756545.0,9.0,1.0,7105101.0,4.0,13555555200.0,5.0,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,54.0,2.0,7105101.0,71.0,720.7830200195312,53.0,4.0,6.0,721.4865723,719.8937988,721.2598877,2.0,0.0,0.0,1.0
559,25997.0,18.0,1.0,2599701.0,17.0,13695155266.0,9.0,1.0,7105101.0,1.0,13635648000.0,1.0,,,1.0,,,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,22.0,2.0,7105101.0,71.0,741.7892456054688,22.0,1.0,3.0,745.2785034,779.8042603,781.2077026,2.0,0.0,0.0,1.0
560,25998.0,23.0,1.0,2599801.0,19.0,13695744870.0,9.0,1.0,7105101.0,4.0,13549248000.0,5.0,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,63.0,1.0,7105101.0,71.0,720.7830200195312,55.0,4.0,6.0,721.4865723,719.8937988,721.2598877,1.0,0.0,0.0,1.0
561,26002.0,16.0,1.0,2600201.0,13.0,13695150262.0,9.0,1.0,7105102.0,4.0,13544841600.0,1.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,32.0,,7105102.0,71.0,516.1669311523438,57.0,4.0,6.0,515.3223267,514.2633057,515.1716309,1.0,0.0,0.0,1.0
562,26003.0,62.0,2.0,2600301.0,61.0,13696375018.0,9.0,1.0,7105102.0,2.0,13620700800.0,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,2.0,,2.0,22.0,,7105102.0,71.0,257.0509338378906,28.0,2.0,4.0,258.9760132,275.2810974,275.8555298,2.0,1.0,0.0,2.0
